Date,Price,Open,High,Low,Volume,Chg%
"Sep 22, 2020",11153.65,11301.75,11302.2,11084.65,672.25B,-0.86%
"Sep 21, 2020",11250.55,11503.8,11535.25,11218.5,602.85B,-2.21%
"Sep 18, 2020",11504.95,11584.1,11584.1,11446.1,764.15B,-0.10%
"Sep 17, 2020",11516.1,11539.4,11587.2,11498.5,517.73B,-0.76%
"Sep 16, 2020",11604.55,11538.45,11618.1,11516.75,527.80B,0.72%
"Sep 15, 2020",11521.8,11487.2,11535.95,11442.25,506.67B,0.71%
"Sep 14, 2020",11440.05,11540.15,11568.9,11383.55,642.27B,-0.21%
"Sep 11, 2020",11464.45,11447.8,11493.5,11419.9,554.79B,0.13%
"Sep 10, 2020",11449.25,11363.3,11464.05,11327.4,679.42B,1.52%
"Sep 09, 2020",11278,11218.6,11298.15,11185.15,728.88B,-0.35%
"Sep 08, 2020",11317.35,11378.55,11437.25,11290.45,572.24B,-0.33%
"Sep 07, 2020",11355.05,11359.6,11381.15,11251.7,560.32B,0.19%
"Sep 04, 2020",11333.85,11354.4,11452.05,11303.65,681.34B,-1.68%
"Sep 03, 2020",11527.45,11566.2,11584.95,11507.65,607.12B,-0.07%
"Sep 02, 2020",11535,11478.55,11554.75,11430.4,593.49B,0.56%
"Sep 01, 2020",11470.25,11464.3,11553.55,11366.9,783.77B,0.73%
"Aug 31, 2020",11387.5,11777.55,11794.25,11325.85,"1,371.79B",-2.23%
"Aug 28, 2020",11647.6,11602.95,11686.05,11589.4,807.00B,0.76%
"Aug 27, 2020",11559.25,11609.3,11617.35,11540.6,719.78B,0.08%
"Aug 26, 2020",11549.6,11512.85,11561.75,11461.85,743.44B,0.67%
"Aug 25, 2020",11472.25,11513.1,11525.9,11423.35,638.15B,0.05%
"Aug 24, 2020",11466.45,11412,11497.25,11410.65,532.90B,0.83%
"Aug 21, 2020",11371.6,11409.65,11418.5,11362.2,668.72B,0.53%
"Aug 20, 2020",11312.2,11317.45,11361.45,11289.8,791.59B,-0.84%
"Aug 19, 2020",11408.4,11452.15,11460.35,11394.1,626.22B,0.20%
"Aug 18, 2020",11385.35,11259.8,11401.7,11253.15,579.24B,1.23%
"Aug 17, 2020",11247.1,11248.9,11267.1,11144.5,633.96B,0.61%
"Aug 14, 2020",11178.4,11353.3,11366.25,11111.45,645.11B,-1.08%
"Aug 13, 2020",11300.45,11334.85,11359.3,11269.95,562.35B,-0.07%
"Aug 12, 2020",11308.4,11289,11322,11242.65,609.86B,-0.12%
"Aug 11, 2020",11322.5,11322.25,11373.6,11299.15,586.08B,0.46%
"Aug 10, 2020",11270.15,11270.25,11337.3,11238,492.00B,0.50%
"Aug 07, 2020",11214.05,11186.65,11231.9,11142.05,452.63B,0.12%
"Aug 06, 2020",11200.15,11185.7,11256.8,11127.3,600.37B,0.89%
"Aug 05, 2020",11101.65,11155.75,11225.65,11064.05,667.64B,0.06%
